Date;Maximum;Minimum;Average;Departure;HDD;CDD;Precipitation;New Snow;Snow Depth
01/10/2017;69;50;59.5;-0.8;5;0;0.00;0.0;0
02/10/2017;68;46;57.0;-2.9;8;0;0.00;0.0;0
03/10/2017;68;50;59.0;-0.5;6;0;0.00;0.0;0
04/10/2017;74;53;63.5;4.4;1;0;0.00;0.0;0
05/10/2017;80;67;73.5;14.8;0;9;0.02;0.0;0
06/10/2017;76;63;69.5;11.2;0;5;T;0.0;0
07/10/2017;75;66;70.5;12.6;0;6;0.00;0.0;0
08/10/2017;75;71;73.0;15.4;0;8;0.35;0.0;0
09/10/2017;75;71;73.0;15.8;0;8;0.06;0.0;0
10/10/2017;80;64;72.0;15.2;0;7;0.00;0.0;0
11/10/2017;74;60;67.0;10.5;0;2;0.02;0.0;0
12/10/2017;66;51;58.5;2.4;6;0;0.07;0.0;0
13/10/2017;66;49;57.5;1.8;7;0;T;0.0;0
14/10/2017;71;60;65.5;10.1;0;1;T;0.0;0
15/10/2017;75;66;70.5;15.5;0;6;0.04;0.0;0
16/10/2017;69;45;57.0;2.3;8;0;0.01;0.0;0
17/10/2017;58;39;48.5;-5.9;16;0;0.00;0.0;0
18/10/2017;70;48;59.0;5.0;6;0;0.00;0.0;0
19/10/2017;71;48;59.5;5.8;5;0;0.00;0.0;0
20/10/2017;74;50;62.0;8.6;3;0;0.00;0.0;0
21/10/2017;73;46;59.5;6.4;5;0;0.00;0.0;0
22/10/2017;76;47;61.5;8.7;3;0;0.00;0.0;0
23/10/2017;73;53;63.0;10.5;2;0;0.00;0.0;0
24/10/2017;76;66;71.0;18.8;0;6;3.29;0.0;0
25/10/2017;68;58;63.0;11.1;2;0;0.49;0.0;0
26/10/2017;59;49;54.0;2.4;11;0;T;0.0;0
27/10/2017;64;44;54.0;2.7;11;0;0.00;0.0;0
28/10/2017;69;46;57.5;6.5;7;0;0.00;0.0;0
29/10/2017;69;63;66.0;15.3;0;1;3.00;0.0;0
30/10/2017;65;48;56.5;6.1;8;0;0.02;0.0;0
31/10/2017;59;42;50.5;0.3;14;0;0.00;0.0;0
