Date;Maximum;Minimum;Average;Departure;HDD;CDD;Precipitation;New Snow;Snow Depth
01/10/2017;68;50;59.0;-3.1;6;0;0.00;0.0;0
02/10/2017;73;52;62.5;0.8;2;0;0.00;0.0;0
03/10/2017;71;57;64.0;2.7;1;0;0.00;0.0;0
04/10/2017;75;56;65.5;4.6;0;1;0.00;0.0;0
05/10/2017;83;65;74.0;13.5;0;9;T;0.0;0
06/10/2017;82;68;75.0;14.8;0;10;0.00;0.0;0
07/10/2017;81;66;73.5;13.7;0;9;0.00;0.0;0
08/10/2017;77;72;74.5;15.1;0;10;0.22;0.0;0
09/10/2017;77;71;74.0;14.9;0;9;0.26;0.0;0
10/10/2017;81;66;73.5;14.8;0;9;0.00;0.0;0
11/10/2017;77;60;68.5;10.1;0;4;0.06;0.0;0
12/10/2017;64;55;59.5;1.5;5;0;0.07;0.0;0
13/10/2017;67;52;59.5;1.8;5;0;0.00;0.0;0
14/10/2017;72;61;66.5;9.2;0;2;0.08;0.0;0
15/10/2017;74;65;69.5;12.5;0;5;T;0.0;0
16/10/2017;69;46;57.5;0.8;7;0;0.01;0.0;0
17/10/2017;58;42;50.0;-6.4;15;0;0.00;0.0;0
18/10/2017;72;50;61.0;4.9;4;0;0.00;0.0;0
19/10/2017;71;56;63.5;7.7;1;0;0.00;0.0;0
20/10/2017;73;57;65.0;9.5;0;0;0.00;0.0;0
21/10/2017;78;56;67.0;11.8;0;2;0.00;0.0;0
22/10/2017;76;57;66.5;11.6;0;2;0.00;0.0;0
23/10/2017;74;61;67.5;12.9;0;3;0.00;0.0;0
24/10/2017;74;67;70.5;16.2;0;6;0.20;0.0;0
25/10/2017;67;57;62.0;8.0;3;0;0.00;0.0;0
26/10/2017;58;50;54.0;0.3;11;0;0.00;0.0;0
27/10/2017;62;47;54.5;1.0;10;0;0.00;0.0;0
28/10/2017;69;55;62.0;8.8;3;0;0.00;0.0;0
29/10/2017;67;60;63.5;10.6;1;0;3.03;0.0;0
30/10/2017;61;46;53.5;0.9;11;0;0.25;0.0;0
31/10/2017;57;45;51.0;-1.4;14;0;0.00;0.0;0
