Date;Maximum;Minimum;Average;Departure;HDD;CDD;Precipitation;New Snow;Snow Depth
01/10/2017;71;49;60.0;-2.1;5;0;0.00;0.0;0
02/10/2017;75;47;61.0;-0.7;4;0;0.00;0.0;0
03/10/2017;70;51;60.5;-0.8;4;0;0.00;0.0;0
04/10/2017;78;50;64.0;3.1;1;0;0.00;0.0;0
05/10/2017;86;63;74.5;14.0;0;10;T;0.0;0
06/10/2017;85;68;76.5;16.4;0;12;0.00;0.0;0
07/10/2017;82;65;73.5;13.8;0;9;0.00;0.0;0
08/10/2017;79;73;76.0;16.7;0;11;0.22;0.0;0
09/10/2017;77;72;74.5;15.5;0;10;0.26;0.0;0
10/10/2017;83;66;74.5;15.9;0;10;0.00;0.0;0
11/10/2017;76;63;69.5;11.3;0;5;0.01;0.0;0
12/10/2017;65;56;60.5;2.6;4;0;0.05;0.0;0
13/10/2017;67;50;58.5;1.0;6;0;T;0.0;0
14/10/2017;74;61;67.5;10.3;0;3;0.10;0.0;0
15/10/2017;73;65;69.0;12.2;0;4;T;0.0;0
16/10/2017;69;47;58.0;1.5;7;0;0.01;0.0;0
17/10/2017;62;40;51.0;-5.1;14;0;0.00;0.0;0
18/10/2017;74;45;59.5;3.7;5;0;0.00;0.0;0
19/10/2017;74;48;61.0;5.5;4;0;0.00;0.0;0
20/10/2017;76;55;65.5;10.3;0;1;0.00;0.0;0
21/10/2017;81;52;66.5;11.7;0;2;0.00;0.0;0
22/10/2017;75;50;62.5;8.0;2;0;0.00;0.0;0
23/10/2017;75;58;66.5;12.3;0;2;T;0.0;0
24/10/2017;77;66;71.5;17.6;0;7;0.21;0.0;0
25/10/2017;68;57;62.5;8.9;2;0;0.00;0.0;0
26/10/2017;60;48;54.0;0.7;11;0;T;0.0;0
27/10/2017;65;41;53.0;0.0;12;0;0.00;0.0;0
28/10/2017;71;47;59.0;6.3;6;0;0.00;0.0;0
29/10/2017;68;61;64.5;12.1;0;0;3.86;0.0;0
30/10/2017;61;48;54.5;2.4;10;0;0.22;0.0;0
31/10/2017;59;45;52.0;0.2;13;0;0.00;0.0;0
